Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1																																															2.166456	0.000000	0.000000	0.000001	0.000001	0.000000	3.303669	1.707572	0.000000																																																		-0.069015		-0.038861	-0.000000									-0.000000											-0.000000																																			-0.342284	0.342369																									-7.069909	
 1 	 2																																															2.166456	0.000000	0.000000	0.000001	0.000001	0.000000	3.303282	1.707565	0.000000																																																		-0.069248		-0.038157	-0.000000									-0.000000											-0.000000																																			-0.340695	0.340703																									-7.069909	
 1 	 3																																															2.166456	0.000000	0.000000	0.000000	0.000001	0.000000	3.302379	1.708928	0.000000																																																		-0.069028		-0.038821	-0.000000									-0.000000											-0.000000																																			-0.341034	0.341026																									-7.069909	
 1 	 4																																															2.166456	0.000000	0.000000	0.000001	0.000001	0.000000	3.303536	1.707749	0.000000																																																		-0.069035		-0.038799	-0.000000									-0.000000											-0.000000																																			-0.340674	0.340672																									-7.069909	
 1 	 5																																															2.166456	0.000000	0.000000	0.000000	0.000001	0.000000	3.303590	1.707682	0.000000																																																		-0.069043		-0.038775	-0.000000									-0.000000											-0.000000																																			-0.340659	0.340656																									-7.069909	
 1 	 6																																															2.166456	0.000000	0.000000	0.000000	0.000001	0.000000	3.303580	1.707673	0.000000																																																		-0.069052		-0.038749	-0.000000									-0.000000											-0.000000																																			-0.340672	0.340670																									-7.069909	
 1 	 7																																															2.166456	0.000000	0.000000	0.000000	0.000001	0.000000	3.302861	1.707712	0.000000																																																		-0.069389		-0.037731	-0.000000									-0.000000											-0.000000																																			-0.340721	0.340718																									-7.069909	
 1 	 8																																															2.166456	0.000000	0.000000	0.000001	0.000001	0.000000	3.303717	1.707765	0.000000																																																		-0.068936		-0.039099	-0.000000									-0.000000											-0.000000																																			-0.340773	0.340776																									-7.069909	
 1 	 9																																															2.166456	0.000000	0.000000	0.000001	0.000001	0.000000	3.302552	1.708934	0.000000																																																		-0.068936		-0.039099	-0.000000									-0.000000											-0.000000																																			-0.340862	0.340861																									-7.069909	
 1 	 10																																															2.166456	0.000000	0.000000	0.000001	0.000001	0.000000	3.303623	1.707860	0.000000																																																		-0.068936		-0.039099	-0.000000									-0.000000											-0.000000																																			-0.340715	0.340718																									-7.069909	
 1 	 11																																															2.166456	0.000000	0.000000	0.000001	0.000001	0.000000	3.303614	1.707889	0.000000																																																		-0.068926		-0.039128	-0.000000									-0.000000											-0.000000																																			-0.340655	0.340656																									-7.069909	
 1 	 12																																															2.166456	0.000000	0.000000	0.000001	0.000001	0.000000	3.303615	1.707936	0.000000																																																		-0.068903		-0.039197	-0.000000									-0.000000											-0.000000																																			-0.340461	0.340461																									-7.069909	
 1 	 13																																															2.166457	0.000000	0.000000	0.000001	0.000001	0.000000	3.303547	1.708003	0.000000																																																		-0.068903		-0.039197	-0.000000									-0.000000											-0.000000																																			-0.340260	0.340261																									-7.069909	
 1 	 14																																															2.166456	0.000000	0.000000	0.000000	0.000001	0.000000	3.303515	1.708037	0.000000																																																		-0.068903		-0.039197	-0.000000									-0.000000											-0.000000																																			-0.340581	0.340581																									-7.069909	
 1 	 15																																															2.166456	0.000000	0.000000	0.000001	0.000001	0.000000	3.303494	1.708006	0.000000																																																		-0.068929		-0.039119	-0.000000									-0.000000											-0.000000																																			-0.340603	0.340602																									-7.069909	
 1 	 16																																															2.166456	0.000000	0.000000	0.000001	0.000001	0.000000	3.303491	1.708007	0.000000																																																		-0.068930		-0.039116	-0.000000									-0.000000											-0.000000																																			-0.340601	0.340599																									-7.069909	
 1 	 17																																															2.166456	0.000000	0.000000	0.000001	0.000001	0.000000	3.303523	1.707973	0.000000																																																		-0.068931		-0.039114	-0.000000									-0.000000											-0.000000																																			-0.340601	0.340600																									-7.069909	
 1 	 18																																															2.166456	0.000000	0.000000	0.000001	0.000001	0.000000	3.303520	1.707973	0.000000																																																		-0.068932		-0.039111	-0.000000									-0.000000											-0.000000																																			-0.340609	0.340609																									-7.069909	
 1 	 19																																															2.166456	0.000000	0.000000	0.000001	0.000001	0.000000	3.303499	1.707992	0.000000																																																		-0.068933		-0.039108	-0.000000									-0.000000											-0.000000																																			-0.340613	0.340613																									-7.069909	
 1 	 20																																															2.166456	0.000000	0.000000	0.000001	0.000001	0.000000	3.303508	1.707979	0.000000																																																		-0.068934		-0.039105	-0.000000									-0.000000											-0.000000																																			-0.340618	0.340620																									-7.069909	
